prob_id,us-east4_avg,us-east1_avg,us-central1_avg,us-west1_avg,northamerica-northeast1_avg
20402,94.004516,104.671728,117.233037,150.539834,100.407561
34963,107.501531,96.235946,131.001486,164.46386,90.966305
34962,18.091181,27.379405,44.944641,73.327588,21.036235
34965,113.528485,136.365207,143.227089,173.066551,147.784344
18233,104.514658,113.520455,119.63803,169.639614,101.345536
18946,106.750966,119.952286,130.076382,166.252962,116.8352
12976,137.559222,145.305809,161.619814,193.859021,145.820834
12977,113.732003,126.182138,138.544667,175.345899,123.837884
15653,260.961052,271.586592,281.341836,314.225952,313.504575
15651,109.295481,122.273358,164.993538,171.386153,120.37896
29000,8.986648,19.53091,31.132428,66.606348,13.510237
27437,130.895359,142.194131,153.998939,188.662834,137.127228
29550,129.569341,142.505272,152.863143,186.553485,136.010074
29551,101.030058,112.804002,124.619683,158.667627,109.390105
29004,29.984911,43.694644,19.755652,58.055159,34.534498
29557,116.9625,129.163667,140.831007,174.485955,128.115222
29006,14.142633,26.408087,34.767475,68.846347,17.288463
15387,15.437792,25.587396,32.433024,75.677909,19.184765
15381,55.696273,56.068264,69.422292,104.13688,68.636057
15383,117.838166,129.139621,142.73909,174.644349,124.030345
15389,86.643266,99.341212,114.69598,144.971273,98.324385
32845,107.81637,117.626118,129.850359,163.106554,113.694365
26767,98.150399,109.697287,119.622944,152.898875,107.924058
20359,132.10617,141.654305,150.247646,192.418559,132.448107
27438,227.402697,247.29754,205.740115,184.414938,233.289406
34788,55.1083,78.358826,30.179551,86.192847,89.329965
34785,92.267575,105.05874,118.880641,153.085006,103.47225
34786,56.844424,73.942026,59.9398,94.512472,68.175294
34780,79.532856,88.890037,78.133573,46.32002,85.173238
34782,19.04296,23.670634,30.511411,67.86245,36.712029
24400,82.492217,92.583227,106.171409,139.51647,85.830728
4390,152.2649392,167.3807182,135.296744,97.62096,168.018773
4391,97.5011528,107.8785244,118.7211504,151.568978,103.5112146
19801,97.736279,107.8033,119.568904,152.648225,108.305285
30680,18.515036,29.586786,46.851377,82.051314,35.350988
1364,128.668288,138.1664538,149.116446,183.7047154,160.397754
1365,86.2290608,98.0650184,110.5038564,146.0396842,96.0255168
28757,118.416304,132.660228,152.337307,181.593399,129.752789
3192,96.5277892,107.6060378,120.9975026,153.8049334,103.865877
1360,99.4640074,114.8667108,119.35644,169.4022488,106.8340444
28754,113.87065,125.385731,143.62954,175.615119,125.021614
28977,107.527684,116.650411,129.806612,161.526526,118.18778
28204,38.887168,42.957015,56.395757,91.770476,34.218683
28759,101.464676,114.569821,126.95028,158.666327,107.507243
28973,114.691411,128.209521,152.673352,227.104648,122.95831
34433,112.87703,126.275877,141.678866,175.44321,126.060879
28970,107.581766,119.569258,132.3303,164.540119,113.973875
22466,115.215478,128.106681,140.013112,173.554048,122.807137
22464,109.623685,124.665806,135.865252,166.655753,114.743703
22461,93.988259,108.255839,117.56126,151.529376,99.816572
34906,108.611192,120.978875,132.377998,166.104447,116.854222
13734,238.981595,250.587657,261.965413,295.329019,248.000327
13732,202.901893,210.592176,226.828382,259.228485,209.307329
4020,133.4819598,149.498296,162.9244746,200.33284,140.0065816
165,150.3361838,165.3825356,179.8415214,207.4177952,155.356908
26374,104.508811,114.768637,126.919271,162.448112,111.267354
4029,109.889302,122.667903,132.0454918,164.9847116,121.1234552
11383,261.019303,168.31794,365.324717,244.450728,275.017851
11384,102.696203,114.307629,126.709157,160.056382,109.780287
3999,120.277733,114.9077224,123.549107,161.6787782,106.5769176
32528,107.788598,119.072694,131.169784,164.547734,116.074182
3997,163.6164426,174.4461662,178.7457388,216.816428,159.9862592
32834,40.641532,56.808061,72.644526,78.162779,41.644501
32525,136.250762,138.452056,152.913545,183.348387,132.838602
32520,117.475001,125.378005,152.651541,186.390996,138.700303
23840,18.06835,31.973063,44.670397,84.48927,26.017867
32789,111.244076,122.643438,123.341902,154.936659,124.150851
23360,100.211388,114.818551,129.598429,167.773968,111.128332
298,123.132697,134.497563,148.0225068,180.6262634,136.7584014
299,96.5592774,111.754928,120.8293104,155.093484,113.671703
32783,164.713693,163.950338,138.13943,110.717798,168.428307
297,101.0920138,113.3102822,125.4532858,159.151904,112.1527518
32787,152.13945,168.00694,130.346826,106.4596,165.445614
293,109.505302,126.7129604,142.9745954,176.0635744,125.6122624
32785,84.475566,96.388123,110.770647,142.012654,98.717212
32784,86.252496,97.493289,120.18183375,145.17623,96.098112
25445,113.925356,126.294265,152.892016,171.615063,117.920535
25114,114.437245,125.651134,136.85813,170.576392,124.037186
25440,113.093732,122.61579,134.364235,248.129166,120.370622
25441,98.956896,110.404595,122.427402,156.060877,105.796674
25442,121.26726,153.86165,165.191234,175.417029,127.152311
25443,108.413396,134.233689,131.629664,165.290707,113.884123
2443,121.1269874,118.6259186,129.1356932,162.933383,117.7725166
2440,90.101471,101.1579082,113.2374758,146.503402,95.626464
2444,99.8335694,107.4696412,118.6950384,154.778911,106.3532764
2445,90.0438708,99.8520012,114.9680872,147.7770538,100.149985
2449,116.5103848,128.977946,142.7746082,174.6887012,124.9760508
16818,127.29229,139.137414,150.791852,185.065153,133.143008
16813,82.345049,99.121007,109.017995,157.536739,86.934801
16812,115.500283,127.343848,137.23481,171.745704,126.907602
16815,77.689939,87.053357,57.954988,33.624474,82.465058
12121,102.833259,107.961688,90.411153,56.549306,110.269594
12120,99.388152,110.882561,123.008329,156.582455,105.875953
12125,101.087041,112.60035,124.830089,158.579945,109.656462
12124,36.596778,51.068336,38.554245,92.167499,25.015636
10141,105.08401,119.64409,129.396166,161.814144,110.67678
10415,62.759638,70.973234,38.824915,20.842307,69.633585
10145,122.856833,133.814239,146.0117,179.31421,129.626943
10419,90.038903,100.294003,73.71161,48.757003,100.810623
10418,25.52593,38.011824,19.803269,59.605625,30.702763
15860,109.125559,120.295078,132.074946,171.230701,115.875451
33072,99.955314,111.613752,123.67198,157.288978,106.806491
33073,283.027261,254.940297,265.586293,296.458658,251.659611
33076,71.111305,78.227656,63.422425,46.686125,81.551761
33077,154.259347,171.723626,176.753089,206.652644,170.402976
18859,121.329617,126.105871,145.022189,178.1918,125.722549
18858,105.650788,115.600272,127.93473,161.279919,117.701744
21721,116.894798,202.584518,157.17743375,302.311112,178.079758
21720,88.020983,98.327209,111.891815,143.737984,99.045183
33078,243.877434,257.637565,269.73833,301.058287,254.81621
21725,283.034296,281.866256,259.684223,276.148401,270.528658
32446,84.074639,94.515241,107.078657,141.594028,94.406085
21726,122.168303,126.526405,138.014855,169.879747,122.153385
26970,132.321471,144.651563,155.853691,189.347022,142.177802
30991,88.721435,104.097616,112.197741,145.250962,95.340588
3207,112.5118692,130.3529736,124.0195832,157.930169,121.640012
3206,113.541911,129.3212422,132.510132,165.0208078,133.4833422
3205,95.1943874,107.085334,119.0129908,154.4815412,101.891656
3204,103.2035538,104.4517076,115.8342384,149.8233132,173.1820378
3203,98.1149382,122.5399542,129.4135554,161.266823,107.1765724
3202,124.3926782,134.876648,147.0176556,186.6095996,130.375706
3208,103.2285902,114.849508,126.5163524,158.1029694,109.6658146
28109,118.297017,124.695578,137.765408,181.3745,128.016624
2862,115.2918758,126.9839106,139.3748248,172.4243288,121.872716
22814,78.801329,88.576251,64.934291,34.588107,86.396274
2866,109.4501596,119.4449144,128.685799,165.5373644,117.6643824
2867,96.7197894,110.0857564,124.0354042,155.1816504,109.798832
555,102.3094476,111.7689056,124.1678076,158.6324284,111.687191
28551,234.159559,235.217509,208.168593,193.346834,242.250585
29960,42.113406,57.674406,34.793824,53.615468,34.402288
14724,110.779527,121.233191,135.933334,166.533539,118.453185
24238,236.075273,250.954165,213.562573,185.983582,243.998795
14244,86.044711,95.422188,67.942624,86.886161,95.87321
33695,79.57929,91.026525,99.787567,134.77188,85.720167
14242,97.569249,95.568815,56.419022,14.95649,77.693704
28562,127.420956,127.646902,141.464509,174.726062,124.307559
24230,202.459657,206.186926,178.544903,167.675448,209.715163
14719,94.640352,106.921289,121.881722,154.431637,106.355046
28568,117.404301,128.539429,140.760016,175.410801,124.235348
14248,99.366925,113.011688,124.857741,159.483924,109.395869
33699,26.790634,37.281525,50.493125,88.809043,31.310636
1198,42.7941976,47.8470248,30.4763968,45.3583962,51.2117866
1190,163.1671624,358.6758862,179.8278504,209.3808036,183.9870322
1193,18.0043812,29.6787516,37.645832,81.05873,14.4748064
1192,219.521631,224.5861314,194.906612,184.8279924,226.1282756
1194,55.66588,64.415091,34.172013,41.101525,58.5999476
3344,115.5998442,137.0353434,137.945116,172.8513372,124.2765562
1196,83.6316842,93.600019,69.7878672,39.7407828,90.9448884
30529,94.124462,102.852362,114.516008,153.199555,106.575848
30528,78.988135,79.582969,95.195047,137.71464,88.904775
30259,100.569124,112.089667,125.539458,157.589738,108.113448
30258,52.033121,55.686633,71.79288,96.42264,84.277933
30525,125.161263,137.364098,148.972499,182.68449,131.944493
30524,103.237747,113.866895,126.790214,159.51198,111.503788
30255,229.948596,258.715331,204.504228,189.707272,238.725976
30526,123.692619,134.772092,200.217651,180.21778,197.128764
30253,31.763458,22.581922,43.74276,71.929782,43.269847
30201,63.06671,65.497747,89.94713,108.982727,80.038076
13948,122.789143,134.656893,156.844832,185.338629,132.740411
4258,93.6825022,105.4514902,117.4296816,162.6549064,100.376545
31127,117.197151,128.638366,141.972726,185.117267,122.900364
35151,66.203783,78.198297,52.299465,16.586378,71.731197
35150,95.282675,104.662612,117.397993,150.804905,101.180713
31690,13.807715,25.963328,34.635135,69.601232,17.413706
31691,110.95082,119.726532,133.768163,165.599561,114.896072
31120,238.572007,250.522245,214.699078,203.429998,245.104176
31121,60.647556,72.555172,44.032518,12.310222,67.358554
18149,217.586687,235.688133,198.278052,163.926958,225.911187
28691,5.172875,16.735569,34.222346,69.655821,21.991784
28696,84.391428,96.05908,109.130513,142.288993,94.898651
28694,365.099965,322.838484,251.27626625,336.49703,243.508359
28695,197.613526,154.866575,173.499739,211.556989,198.995315
28698,97.490559,109.325548,121.237743,154.94167,104.293468
18145,103.045363,113.150326,126.541163,158.446914,107.439713
13971,256.665994,275.857383,241.512388,205.175992,265.617612
31348,113.69382,127.035366,137.769803,182.053308,124.639317
31349,88.224255,96.534556,112.770972,142.803695,96.038835
31346,111.409668,122.937149,135.032091,168.872247,117.54574
31344,7.227567,18.606109,28.539497,77.212345,10.705183
16576,236.430347,169.184285,187.252661,217.955579,180.097559
23618,114.865901,126.02493,138.72078,172.197756,121.801738
23613,112.755871,125.367431,139.610782,171.025927,122.219682
4264,97.1014852,110.0071136,120.7813874,154.8555578,105.8113748
23610,82.519255,93.711307,105.297338,138.889745,94.694569
